class,ring-type,cap-surface,spore-print-color,bruises,odor,gill-attachment,habitat,gill-size,gill-color
p,p,s,k,t,p,f,u,n,k
e,p,s,n,t,a,f,g,b,k
e,p,s,n,t,l,f,m,b,n
p,p,y,k,t,p,f,u,n,n
e,e,s,n,f,n,f,g,b,k
e,p,y,k,t,a,f,g,b,n
e,p,s,k,t,a,f,m,b,g
e,p,y,n,t,l,f,m,b,n
p,p,y,k,t,p,f,g,n,p
e,p,s,k,t,a,f,m,b,g
e,p,y,n,t,l,f,g,b,g
e,p,y,k,t,a,f,m,b,n
e,p,s,n,t,a,f,g,b,w
p,p,y,n,t,p,f,u,n,k
e,e,f,k,f,n,f,g,b,n
e,p,f,n,f,n,f,u,n,k
e,e,f,n,f,n,f,g,b,k
p,p,s,k,t,p,f,g,n,n
p,p,y,n,t,p,f,u,n,n
p,p,s,n,t,p,f,u,n,k
e,p,s,n,t,a,f,m,b,k
p,p,y,n,t,p,f,g,n,n
e,p,y,n,t,l,f,m,b,k
e,p,y,n,t,a,f,m,b,w
e,p,s,k,t,l,f,m,b,g
p,p,s,n,t,p,f,g,n,n
e,p,y,n,t,a,f,m,b,n
e,p,y,n,t,l,f,m,b,w
e,p,f,k,f,n,f,u,n,k
e,p,s,n,t,a,f,d,n,n
e,p,s,n,t,l,f,m,b,g
p,p,y,n,t,p,f,u,n,k
e,p,y,n,t,l,f,m,b,n
e,p,y,n,t,l,f,p,b,p
e,p,y,n,t,l,f,m,b,n
e,p,f,n,t,l,f,d,n,w
e,p,f,k,f,n,f,u,n,k
p,p,y,n,t,p,f,u,n,w
e,p,f,n,t,a,f,d,n,p
e,p,s,k,t,l,f,m,b,k
e,p,y,n,t,a,f,g,b,n
e,p,y,k,t,l,f,p,b,n
e,p,f,k,f,n,f,u,n,g
p,p,y,n,t,p,f,g,n,p
e,p,s,k,t,a,f,m,b,w
e,p,y,n,t,a,f,g,b,n
e,p,y,k,t,l,f,m,b,k
e,p,s,n,t,l,f,m,b,w
e,p,y,n,t,l,f,p,b,n
e,p,y,k,t,l,f,p,b,w
e,p,y,k,t,a,f,g,b,w
e,p,s,k,t,l,f,g,b,k
e,p,s,n,t,l,f,m,b,k
p,p,y,n,t,p,f,u,n,k
p,p,s,k,t,p,f,u,n,k
e,p,y,k,t,a,f,m,b,w
e,e,f,n,f,n,f,g,b,n
e,p,s,n,t,a,f,g,b,w
e,p,s,k,t,l,f,g,b,k
e,p,y,k,t,a,f,p,b,p
e,p,f,n,f,n,f,u,n,k
e,p,y,n,t,a,f,m,b,k
e,p,s,n,t,l,f,m,b,g
e,p,y,n,t,l,f,m,b,g
e,p,y,n,t,l,f,g,b,n
e,e,s,k,f,n,f,g,b,k
e,p,s,k,t,l,f,g,b,n
e,p,y,n,t,a,f,g,b,w
e,p,y,k,t,a,f,g,b,w
e,p,f,n,f,n,f,u,n,p
e,p,f,n,t,l,f,d,n,p
e,p,y,n,t,l,f,m,b,g
